14646322,14577906
14646621,14534561
14653229,13765637
14669638,14398001
14674283,8783895
14678590,14010257
14687403,7724470
14690662,14628119
14691207,14662591
14695527,14689670
14700007,10476514
14703603,14700242
14713128,14623856
14717708,14662591
14725779,5166957
14735817,966352
14751235,9897304
14751307,8225928
14751404,14140051
14751530,9275610
14754002,14534958
14756337,5462011
14756736,14320607
14780074,10417231
14780242,5303258
14782686,14569936
14783466,14146750
14785040,12613978
14800855,13502582
14802938,5744056
14821430,11810369
14835158,11543516
14843300,12994997
14845868,11959010
14848218,14760009
14861515,14849449
14864705,14653012
14867569,13542460
14867862,13929796
14868004,9660875
14902401,14852898
14903705,11116156
14905569,14793966
14907935,11155030
14911121,14746742
14912826,14708464
14917160,14915220
14921809,12462218
14922781,14166670
14926161,14861470
14928669,12090334
14938201,14876186
14949317,14945957
14952249,14662591
14963648,14817302
14970683,14722370
14974873,14972711
14975139,14915220
14975530,14880687
14990369,14841515
14995581,14842395
15001615,12175708
15021810,14924485
15027225,237727
15033144,14247926
15033890,14988530
15044715,11330403
15050052,14496085
15063226,14655152
15072969,14654872
15083634,14915220
15094302,14167070
15105900,15073646
15113132,12166205
15118526,15027537
15120395,12083397
15123098,15092592
15126689,4539398
15130298,14497762
15137636,14773388
15143784,10612745
15161826,15012813
15164184,2209847
15183031,15132056
15205769,14791090
15221544,11320954
15226713,15201777
15247207,15241576
15249399,15234987
15253708,14924485
15256281,14801856
15268821,13364153
15272015,10433284
15299066,15280054
15309662,15038849
15313329,15313204
15326578,15065757
15327689,5445292
15335446,5752950
15344643,14865365
15346561,15297580
15361022,11824536
15363369,15101541
15364844,15038849
15374251,2271371
15379971,14865365
15394539,15335509
15397819,15383641
15400079,9213669
15423347,15383641
15425567,738169
15435674,15388065
15456562,15454686
15457331,15012813
15465308,14140051
15468269,15452048
15470987,9212432
15479933,4673646
15482609,4152057
15484255,9458026
15506514,11791487
15527097,11330385
15528519,15443208
15530848,15130693
15534711,5925375
15534968,15414886
15536725,14805268
15539272,14510350
15539492,14662591
15606382,772752
15617186,11108741
15620286,8670761
15621542,15531609
15629100,14953311
15643140,15113004
15659036,13650341
15661978,11329919
15662555,11567851
15665988,15262390
15678921,11741158
15683002,15665524
15685425,14145965
15711575,15472880
15725540,6482055
15728262,13719359
15745109,7485933
15748300,15012813
15753532,11987283
15767698,15382585
15772189,15574322
15776731,15474343
15785327,14993362
15800595,15704639
15804280,14555876
15805316,15785302
15811158,13399472
15820002,15746360
15829135,15799002
15837145,15835667
15839454,15327814
15850921,2463639
15853794,15801392
15854364,15846065
15858190,15785302
15860162,15808215
15872499,15837700
15872800,15862075
15885638,15353957
15893403,14811938
15894284,15881545
15903201,15497895
15903653,15880258
15905447,15814246
15906446,14111102
15907010,15755466
15910792,15886515
15912530,15911434
15923654,15872055
15924358,15861610
15935161,15431612
15942034,15844487
15960669,15949871
15969414,9244728
15986149,15843530
15989250,13678601
15996649,15038849
16009866,16009306
16020076,10105697
16021376,14632949
16028185,15911434
16035276,4404370
16041357,15972288
16047105,16073371
16048640,11322198
16050459,16022502
16059882,15410988
16069206,16008973
16074011,15861610
16081101,7766369
16083949,15272049
16099331,16034246
16100951,4449543
16111688,16083967
16112285,14475590
16132526,11374028
16137881,15877241
16142822,11725847
16154070,13254404
16163439,9416581
16168666,5406638
16170849,11871586
16171201,3960790
16182430,16178430
16196359,16094255
16202121,11388536
16203741,14662591
16210690,9690456
16212060,15674493
16233042,16169757
16247673,15840776
16253336,8445815
16262250,16180220
16267192,16239182
16271989,15718884
16279315,13670253
16280140,16263797
16291906,14787667
16309578,16106965
16322187,16285466
16322516,16218927
16324733,16294975
16325123,14653012
16325336,9485366
16328004,16302217
16328787,16138390
16330387,8951044
16348710,16240154
16359948,13311394
16361782,13495987
16364022,14212567
16367597,16279583
16372555,16279822
16390949,13533480
16396639,14864344
16401021,16374409
16403523,4812541
